user_id,artista
21gt55n63swkgukdfd5tvfyni,Axel Caram
11162160084,Berlin
11162160084,Kodaline
11162160084,Coldplay
11162160084,Conan Gray
21gt55n63swkgukdfd5tvfyni,Salastkbron
11162160084,The Killers
11162160084,Janet Suhh
21gt55n63swkgukdfd5tvfyni,La Joaqui
21gt55n63swkgukdfd5tvfyni,Punto40
11178273764,Avicii
11162160084,Ellie Goulding
11162160084,Groundation
21gt55n63swkgukdfd5tvfyni,Mak Donal
21gt55n63swkgukdfd5tvfyni,Alex Rose
11162160084,El Kuelgue
11162160084,a-ha
11178273764,Deorro
21gt55n63swkgukdfd5tvfyni,Cyclo
21gt55n63swkgukdfd5tvfyni,Ke Personajes
11162160084,Indios
21gt55n63swkgukdfd5tvfyni,Tobias Medrano
21gt55n63swkgukdfd5tvfyni,Bryant Myers
21gt55n63swkgukdfd5tvfyni,Ozuna
11162160084,Joji
11162160084,Bruno Major
21gt55n63swkgukdfd5tvfyni,Shé
21gt55n63swkgukdfd5tvfyni,Anuel AA
21gt55n63swkgukdfd5tvfyni,J Balvin
11162160084,Ruel
21gt55n63swkgukdfd5tvfyni,Paulo Londra
21gt55n63swkgukdfd5tvfyni,Axel Caram
11162160084,Berlin
11162160084,Kodaline
11162160084,Coldplay
11162160084,Conan Gray
21gt55n63swkgukdfd5tvfyni,Salastkbron
11162160084,The Killers
11162160084,Janet Suhh
21gt55n63swkgukdfd5tvfyni,La Joaqui
21gt55n63swkgukdfd5tvfyni,Punto40
11178273764,Avicii
11162160084,Ellie Goulding
11162160084,Groundation
21gt55n63swkgukdfd5tvfyni,Mak Donal
21gt55n63swkgukdfd5tvfyni,Alex Rose
11162160084,El Kuelgue
11162160084,a-ha
11178273764,Deorro
21gt55n63swkgukdfd5tvfyni,Cyclo
21gt55n63swkgukdfd5tvfyni,Ke Personajes
11162160084,Indios
21gt55n63swkgukdfd5tvfyni,Tobias Medrano
21gt55n63swkgukdfd5tvfyni,Bryant Myers
21gt55n63swkgukdfd5tvfyni,Ozuna
11162160084,Joji
11162160084,Bruno Major
21gt55n63swkgukdfd5tvfyni,Shé
21gt55n63swkgukdfd5tvfyni,Anuel AA
21gt55n63swkgukdfd5tvfyni,J Balvin
11162160084,Ruel
21gt55n63swkgukdfd5tvfyni,Paulo Londra
21gt55n63swkgukdfd5tvfyni,Axel Caram
11162160084,Berlin
11162160084,Kodaline
11162160084,Coldplay
11162160084,Conan Gray
21gt55n63swkgukdfd5tvfyni,Salastkbron
11162160084,The Killers
11162160084,Janet Suhh
21gt55n63swkgukdfd5tvfyni,La Joaqui
21gt55n63swkgukdfd5tvfyni,Punto40
11178273764,Avicii
11162160084,Ellie Goulding
11162160084,Groundation
